duration,sac_amplitude,sac_endpos_x,sac_endpos_y,sac_startpos_x,sac_startpos_y,sac_vmax,fix_avgpos_x,fix_avgpos_y,fix_avgpupilsize,overlapping,fix_samebox,id,picID,trialnum,fix_type,onset,stim_set,stim_file,latency
0.3984375,1.96,1818.8,1026.0,1962.3,1021.5,150.0,1812.3,1039.5,134.0,0,1.0,NaN,NaN,NaN,HFtoHF,295.2392575625,NaN,NaN,151162.499872
0.1943359375,1.1,1874.0,1051.3,1794.3,1039.5,101.0,1880.8,1049.8,173.0,0,1.0,NaN,NaN,NaN,HFtoHF,296.4072263125,NaN,NaN,151760.499872
0.4794921875,12.79,2629.0,414.0,1883.0,1048.5,312.0,2669.0,343.5,200.0,0,0.0,NaN,NaN,NaN,HFtoOS,296.65624975,NaN,NaN,151887.999872
0.4892578125,14.93,1716.0,999.5,2659.5,345.0,466.0,1699.3,1081.8,295.0,0,0.0,NaN,NaN,NaN,OStoHF,297.1923825625,NaN,NaN,152162.499872
0.3115234375,1.54,1810.5,1081.0,1699.3,1094.8,122.0,1806.0,1095.0,317.0,0,1.0,NaN,NaN,NaN,HFtoHF,297.6982419375,NaN,NaN,152421.499872
0.1611328125,12.1,995.3,1462.5,1809.3,1102.0,448.0,965.5,1522.3,312.0,0,0.0,NaN,NaN,NaN,HFtoNone,298.05468725,NaN,NaN,152603.999872
0.5908203125,1.13,881.8,1597.5,945.0,1542.0,89.0,887.8,1622.5,265.0,0,0.0,NaN,NaN,NaN,NonetoNone,298.232421625,NaN,NaN,152694.999872
0.1533203125,15.7,1904.0,1060.5,889.0,1624.5,465.0,1920.3,986.3,252.0,0,0.0,NaN,NaN,NaN,NonetoHF,298.8740231875,NaN,NaN,153023.499872
0.53515625,1.53,1834.0,1068.0,1917.8,992.3,123.0,1818.3,1083.5,289.0,0,1.0,NaN,NaN,NaN,HFtoHF,299.0439450625,NaN,NaN,153110.499872
0.310546875,4.35,1642.5,813.8,1783.5,1104.8,213.0,1606.0,739.5,294.0,0,1.0,NaN,NaN,NaN,HFtoHF,300.5263669375,NaN,NaN,153869.499872
0.1494140625,2.65,2004.8,894.5,1939.5,1081.3,175.0,2019.0,847.3,287.0,0,0.0,NaN,NaN,NaN,NonetoHF,305.0068356875,NaN,NaN,156163.499872
0.5771484375,0.82,2019.0,771.5,2029.8,833.3,73.0,2012.5,739.0,273.0,0,1.0,NaN,NaN,NaN,HFtoHF,305.1708981875,NaN,NaN,156247.499872
